YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2018,201800398130,238.97825394,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2018,201800398137,27.534924156,2,2,4,2,3,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2
2018,201800398147,159.3496284,2,2,4,2,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1
2018,201800398149,238.97825394,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398154,170.65463049,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398168,68.38656771,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800398183,26.905154397,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398193,235.19710588,3,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398194,235.19710588,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398201,168.60175046,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800398205,168.60175046,3,1,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398213,67.781648582,2,1,1,2,2,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800398224,168.60175046,3,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398225,132.15328946,3,1,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398231,67.781648582,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398237,235.19710588,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800398252,168.60175046,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398255,30.234815918,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
2018,201800398272,168.60175046,2,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398277,28.249912,2,2,1,1,1,3,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2018,201800398279,159.45162565,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398280,235.19710588,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800398285,27.297360648,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2
2018,201800398290,159.45162565,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398296,235.19710588,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2018,201800398297,159.45162565,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800398300,168.60175046,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800398310,67.781648582,2,2,1,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800398322,235.19710588,3,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398329,235.19710593,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398330,67.781648583,2,2,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800398331,73.796909459,4,2,4,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2018,201800398347,67.781648582,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398353,235.19710588,3,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800398354,132.15328946,3,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800398357,168.60175046,3,2,1,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800399637,83.848345626,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800399657,287.4625676,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800400865,74.967626589,2,1,1,2,2,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800400879,270.08682723,3,1,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800400886,146.08973365,3,1,1,2,2,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800400888,149.7873365,3,1,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800400912,187.19330786,3,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1
2018,201800409539,143.98823542,3,2,1,1,1,2,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800409691,182.80074644,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800409743,29.833901635,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800409978,187.19330785,3,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800410692,256.85059107,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800410708,73.468096125,2,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800410843,182.80074644,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800410857,32.839231115,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
2018,201800410980,73.468096125,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800411039,171.48943459,2,2,1,1,1,4,1,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411338,30.018111051,2,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2
2018,201800411339,159.3496284,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800411340,132.18500855,3,2,1,2,2,4,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800411342,238.97825394,3,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800411350,68.386567715,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411371,27.534924156,2,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411372,170.65463049,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411389,238.97825394,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800411393,159.3496284,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411418,238.97825394,3,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411426,170.65463049,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2018,201800411429,68.386567715,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411436,132.18500855,3,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411458,238.97825394,3,2,1,1,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411463,170.65463049,3,2,1,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800411470,68.386567715,2,2,1,1,1,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411489,132.18500855,3,2,1,1,1,4,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800411500,170.65463049,3,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411503,238.97825394,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411505,170.65463043,3,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411517,168.60175046,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411529,132.15328946,3,2,1,1,1,5,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411535,235.19710588,3,2,4,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411546,235.19710588,3,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800411550,159.45162565,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411552,168.60175046,3,2,1,2,2,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411553,26.905154397,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411562,168.60175046,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411563,132.15328946,3,1,1,2,2,5,1,1,3,1,1,2,1,2,2,2,2,2,1,1,2,2,1
2018,201800411564,235.19710588,3,2,4,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800411570,159.45162565,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2018,201800411571,235.19710588,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411583,28.249912,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1
2018,201800411591,27.297360648,2,1,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800411595,159.45162565,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411598,168.60175046,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411600,235.19710588,3,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800411608,28.249912,2,1,4,2,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2018,201800411611,67.781648582,2,2,1,2,2,5,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2
2018,201800411614,36.670999241,4,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411624,168.60175046,3,2,1,1,1,4,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800411641,168.60175046,3,2,1,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800411643,235.19710588,3,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800413790,32.11839314,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2018,201800413799,16.416304491,2,1,4,2,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2018,201800413811,35.645192618,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
2018,201800413816,279.02470946,3,2,4,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1
2018,201800413870,287.4625676,3,2,3,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800413921,37.402434265,2,2,4,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1
2018,201800413932,287.4625676,3,2,1,2,3,4,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
2018,201800413937,195.21146277,2,2,1,2,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800413959,415.07646545,3,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800413960,360.04735403,2,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800413964,377.86543086,3,1,1,2,2,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800413969,30.426502217,2,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2
2018,201800413975,26.668573841,4,2,2,2,2,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2018,201800414151,178.40208699,2,1,1,2,3,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800414247,270.08682725,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414289,177.61964128,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800414302,32.509735858,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2
2018,201800414309,198.27204118,3,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414333,151.26556505,3,1,1,2,2,5,2,1,3,2,1,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800414334,279.02470946,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2018,201800414364,211.51039651,3,2,1,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414395,195.21146277,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414465,211.51039651,3,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800414599,586.07247662,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414607,146.08973367,3,1,4,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414609,177.61964128,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800414615,270.0868272,3,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414668,265.23227329,3,1,1,2,2,4,2,1,3,1,2,2,1,2,2,2,2,2,2,2,1,2,2
2018,201800414777,265.23227317,3,1,4,2,3,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2018,201800414852,76.421257851,2,2,1,2,3,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800414927,265.23227325,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800414946,187.19330787,3,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800414999,265.23227321,3,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800415018,30.490190366,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2018,201800415020,178.40208686,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2018,201800415029,76.421257839,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800415035,146.08973373,3,2,1,1,1,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800415754,239.71349847,3,2,4,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1
2018,201800416230,16.416304491,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800416231,78.134540153,2,2,1,2,2,6,1,2,3,1,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800416241,78.134540153,2,2,1,2,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800416300,190.69810162,3,1,1,2,2,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800416362,187.1933078,3,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800416451,74.967626606,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2018,201800417022,170.91254122,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2018,201800417619,154.69724188,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2018,201800417627,240.76970651,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
