CASENUM,SURVIVED,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,PSUSTRAT,WEIGHT
2.02E+11,1.00E+00,3,48,87,48,1,9,1,1,0,0,1,0,0,1,2018,1,1,20,34,2,0,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,1,1,20,34,0,0,1,3,1,0,0,2,12,170.6546305
2.02E+11,0.00E+00,3,48,87,48,1,8,2,2,0,0,4,0,1,1,2018,1,11,56,12,2,2,6,0,8,1,0,1,1,10,0,10,0,0,0,0,0,1,11,56,12,6,0,8,1,10,2,1,2,12,159.3496284
2.02E+11,1.00E+00,3,48,90,48,1,10,2,2,0,0,2,0,0,1,2018,3,12,48,12,2,0,6,0,2,3,0,1,1,1,0,1,0,0,0,0,0,3,12,48,12,6,0,2,1,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,90,48,1,9,2,2,0,0,3,0,0,1,2018,5,18,48,12,2,0,1,0,3,2,0,1,3,1,0,1,0,0,0,0,0,5,18,48,12,1,0,3,3,1,0,0,2,12,170.6546305
2.02E+11,0.00E+00,3,48,90,48,1,6,2,2,0,0,3,0,1,1,2018,6,17,58,12,2,2,1,0,1,1,0,1,3,1,0,1,0,0,0,0,0,6,17,58,12,1,0,1,3,1,2,1,2,12,68.38656772
2.02E+11,1.00E+00,3,48,92,48,1,7,2,2,0,0,2,0,0,1,2018,6,7,34,12,2,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,6,7,34,12,7,0,1,1,1,0,0,2,12,132.1850085
2.02E+11,1.00E+00,3,48,96,48,1,10,2,2,0,0,3,0,0,1,2018,4,14,45,12,2,0,6,0,2,98,0,1,1,1,0,1,0,0,0,0,0,4,14,45,12,6,0,2,1,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,97,48,1,4,3,3,0,0,4,0,4,1,2018,2,20,5,12,2,4,6,0,2,2,0,1,3,1,0,1,0,0,0,0,0,2,20,5,12,6,0,2,3,1,4,4,2,12,26.9849393
2.02E+11,0.00E+00,3,70,138,70,2,10,1,1,0,0,1,0,0,1,2018,3,19,12,33,2,0,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,3,19,12,33,0,0,1,3,1,0,0,2,16,235.1971059
2.02E+11,1.00E+00,3,70,138,70,2,9,2,2,0,0,2,0,0,1,2018,5,11,49,12,2,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,5,11,49,12,7,0,1,1,1,0,0,2,16,168.6017505
2.02E+11,1.00E+00,3,70,46,70,2,7,2,2,0,0,2,0,0,1,2018,5,15,0,12,2,0,7,0,1,1,0,1,1,1,0,1,0,0,0,0,0,5,15,0,12,7,0,1,1,1,0,0,2,16,132.1532895
2.02E+11,1.00E+00,3,70,138,70,2,5,2,2,0,0,2,0,1,1,2018,5,16,45,12,2,3,6,0,2,2,0,1,5,1,0,1,0,0,0,0,0,5,16,45,12,6,0,2,5,1,3,1,2,16,27.29736065
2.02E+11,1.00E+00,3,70,138,70,2,9,2,2,0,0,3,0,0,1,2018,6,12,30,12,2,0,1,0,3,2,0,1,1,1,0,1,0,0,0,0,0,6,12,30,12,1,0,3,1,1,0,0,2,16,168.6017505
2.02E+11,1.00E+00,3,70,46,70,2,6,2,2,0,0,2,0,1,1,2018,6,14,0,12,2,2,6,0,8,1,0,1,1,1,0,1,0,0,0,0,0,6,14,0,12,6,0,8,1,1,2,1,2,16,67.78164858
2.02E+11,1.00E+00,3,70,138,70,2,10,2,2,0,0,2,0,0,1,2018,6,21,52,12,9,0,6,0,2,2,0,1,3,1,0,1,0,0,0,0,0,6,21,52,12,6,0,2,3,1,0,0,2,16,235.1971059
2.02E+11,1.00E+00,3,70,138,70,2,8,2,2,0,0,2,0,2,1,2018,7,18,27,12,2,1,6,0,2,2,0,1,3,1,0,1,0,0,0,0,0,7,18,27,12,6,0,2,3,1,1,2,2,16,159.4516257
2.02E+11,1.00E+00,3,70,138,70,2,9,2,2,0,0,6,0,0,1,2018,7,20,13,12,2,0,6,0,2,2,0,1,3,1,0,1,0,0,0,0,0,7,20,13,12,6,0,2,3,1,0,0,2,16,168.6017505
2.02E+11,0.00E+00,3,70,137,70,2,10,2,2,0,0,3,0,0,1,2018,4,19,37,12,9,0,6,0,8,1,0,1,1,1,0,1,0,0,0,0,0,4,19,37,12,6,0,8,1,1,1,1,2,16,235.1971059
2.02E+11,1.00E+00,3,70,137,70,2,9,2,2,0,0,2,0,0,1,2018,1,15,27,12,2,0,6,0,2,3,0,1,1,1,0,1,0,0,0,0,0,1,15,27,12,6,0,2,1,1,0,0,2,16,168.6017505
2.02E+11,1.00E+00,4,64,305,64,1,8,1,1,0,0,2,0,2,1,2018,3,13,20,39,2,1,0,0,1,1,0,5,1,10,0,10,0,0,0,0,0,3,13,20,39,0,0,1,1,10,1,2,2,23,193.3845999
2.02E+11,1.00E+00,4,64,305,64,1,7,2,2,0,0,2,0,1,1,2018,5,16,18,12,2,1,1,8,3,2,0,1,1,1,0,1,0,0,0,0,0,5,16,18,12,1,0,3,1,1,1,1,2,23,151.2655651
2.02E+11,1.00E+00,4,68,295,68,1,9,2,2,0,0,4,0,0,1,2018,3,13,30,12,2,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,3,13,30,12,1,0,1,1,1,0,0,2,23,190.6981016
2.02E+11,0.00E+00,4,56,208,208,1,8,2,2,0,0,5,0,1,1,2018,2,13,0,12,2,1,6,8,2,2,0,1,1,1,0,1,0,0,0,0,0,2,13,0,12,6,0,2,1,1,1,1,2,20,178.4020869
2.02E+11,1.00E+00,4,56,210,210,1,6,1,1,0,0,2,0,2,1,2018,7,2,50,33,1,2,0,8,3,2,0,4,3,1,0,1,0,0,0,0,0,7,2,50,33,0,0,3,3,1,2,2,1,20,76.42125783
2.02E+11,1.00E+00,4,56,214,214,1,10,2,2,0,0,4,0,0,1,2018,6,20,25,12,2,0,1,8,3,98,0,1,3,1,0,1,0,0,0,0,0,6,20,25,12,1,0,3,3,1,0,0,2,20,265.2322733
