YEAR,CASENUM,VEH_NO,WEIGHT,A_BODY,A_IMP1,A_VROLL,A_SPVEH,A_MOD_YR
2018,201800396168,2,20.623989912,6,5,2,2,2005
2018,201800396250,1,30.490190374,1,2,2,1,2003
2018,201800396250,2,30.490190374,1,4,2,2,1992
2018,201800397628,1,34.194551581,1,2,2,2,2012
2018,201800397696,1,76.42125785,3,2,2,2,2004
2018,201800397696,2,76.42125785,3,3,2,2,2015
2018,201800397696,3,76.42125785,1,3,2,2,2013
2018,201800397716,1,178.40208686,1,3,1,2,2001
2018,201800397941,1,159.3496284,2,2,2,1,2003
2018,201800397959,1,15.700392812,1,2,2,2,2016
2018,201800397959,2,15.700392812,6,2,2,2,2018
2018,201800397966,1,132.18500855,6,2,2,2,2016
2018,201800397969,1,238.97825394,1,2,2,1,1995
2018,201800397975,1,27.534924156,1,2,2,2,2006
2018,201800397982,1,15.009055523,1,2,2,2,2017
2018,201800397982,2,15.009055523,1,2,2,2,2015
2018,201800397984,1,27.534924156,1,2,2,1,2006
2018,201800397994,1,170.65463049,2,4,2,2,2008
2018,201800397994,2,170.65463049,1,2,2,2,2017
2018,201800397995,1,238.97825394,1,2,2,2,2010
2018,201800397995,2,238.97825394,1,4,2,2,1998
2018,201800397998,1,28.803219805,3,2,1,2,2003
2018,201800398028,1,238.97825394,1,5,2,2,2012
2018,201800398028,2,238.97825394,2,3,2,2,2000
2018,201800398037,1,170.65463049,2,2,2,2,2008
2018,201800398037,2,170.65463049,1,5,2,2,2017
2018,201800398060,1,27.534924156,1,2,2,2,1998
2018,201800398060,2,27.534924156,1,3,2,2,2010
2018,201800398060,3,27.534924156,4,4,2,2,2015
2018,201800398076,1,132.18500855,6,3,2,2,2008
2018,201800398083,1,238.97825394,1,2,2,2,2013
2018,201800398083,2,238.97825394,1,2,2,2,2007
2018,201800398088,1,68.386567715,3,2,2,2,2015
2018,201800398088,2,68.386567715,1,5,2,2,2016
2018,201800398092,1,170.65463049,1,4,2,2,2015
2018,201800398092,2,170.65463049,1,2,2,2,2015
2018,201800398110,1,27.534924156,1,4,2,2,1997
2018,201800398110,2,27.534924156,1,2,2,2,2006
2018,201800398122,1,170.65463049,1,2,2,2,2015
2018,201800398130,1,238.97825394,1,2,2,2,2011
2018,201800398130,2,238.97825394,1,5,2,2,2011
2018,201800398137,1,27.534924156,3,2,1,2,2005
2018,201800398147,1,159.3496284,1,1,1,1,2002
2018,201800398149,1,238.97825394,3,2,2,2,2010
2018,201800398149,2,238.97825394,1,2,2,2,2013
2018,201800398154,1,170.65463049,3,2,2,2,2014
2018,201800398154,2,170.65463049,1,2,2,2,1995
2018,201800398168,1,68.38656771,4,2,2,2,2006
2018,201800398168,2,68.38656771,1,4,2,2,2014
2018,201800398183,1,26.905154397,3,2,2,2,2006
2018,201800398183,2,26.905154397,1,2,2,2,2015
2018,201800398193,1,235.19710588,1,2,2,2,2007
2018,201800398193,2,235.19710588,1,4,2,2,2006
2018,201800398194,1,235.19710588,3,2,2,2,2005
2018,201800398201,1,168.60175046,3,2,2,2,2005
2018,201800398201,2,168.60175046,3,5,2,2,2017
2018,201800398205,1,168.60175046,1,2,2,2,2016
2018,201800398213,1,67.781648582,3,2,2,1,2010
2018,201800398213,2,67.781648582,1,4,2,2,2017
2018,201800398224,1,168.60175046,3,2,2,2,1999
2018,201800398224,2,168.60175046,1,4,2,2,2011
2018,201800398224,3,168.60175046,1,4,2,2,2017
2018,201800398225,1,132.15328946,6,2,2,2,2018
2018,201800398225,2,132.15328946,1,4,2,2,2016
2018,201800398231,1,67.781648582,6,2,2,2,2014
2018,201800398231,2,67.781648582,3,4,2,2,2018
2018,201800398237,1,235.19710588,1,2,2,2,2006
2018,201800398237,2,235.19710588,1,4,2,2,2007
2018,201800398252,1,168.60175046,1,2,2,2,2015
2018,201800398252,2,168.60175046,2,2,2,2,2009
2018,201800398255,1,30.234815918,2,2,2,2,2014
2018,201800398272,1,168.60175046,1,2,2,2,2017
2018,201800398272,2,168.60175046,1,4,2,2,2016
2018,201800398277,1,28.249912,1,2,2,2,2014
2018,201800398277,2,28.249912,7,2,2,2,2008
2018,201800398279,1,159.45162565,2,2,2,2,2016
2018,201800398279,2,159.45162565,1,4,2,2,1979
2018,201800398280,1,235.19710588,1,2,2,2,2012
2018,201800398280,2,235.19710588,4,4,2,2,2005
2018,201800398285,1,27.297360648,3,2,2,1,1997
2018,201800398290,1,159.45162565,2,2,2,2,1992
2018,201800398296,1,235.19710588,1,2,2,2,2012
2018,201800398296,2,235.19710588,1,4,2,2,2004
2018,201800398297,1,159.45162565,1,2,2,2,2014
2018,201800398297,2,159.45162565,1,4,2,2,2002
2018,201800398300,1,168.60175046,3,2,2,2,2010
2018,201800398300,2,168.60175046,1,5,2,2,2017
2018,201800398310,1,67.781648582,1,5,2,2,2017
2018,201800398310,2,67.781648582,2,2,2,2,2005
2018,201800398322,1,235.19710588,1,2,2,2,2013
2018,201800398329,1,235.19710593,2,5,2,2,2010
2018,201800398329,2,235.19710593,3,2,2,2,2010
2018,201800398330,1,67.781648583,1,5,2,2,2015
2018,201800398331,1,73.796909459,2,2,1,2,2005
2018,201800398347,1,67.781648582,3,2,2,2,2014
2018,201800398347,2,67.781648582,1,2,2,2,2016
2018,201800398353,1,235.19710588,2,2,2,2,2006
2018,201800398353,2,235.19710588,3,4,2,2,2008
2018,201800398353,3,235.19710588,2,4,2,2,2010
2018,201800398354,1,132.15328946,8,2,2,2,2018
2018,201800398357,1,168.60175046,1,2,2,2,2017
2018,201800398357,2,168.60175046,1,4,2,2,2015
2018,201800398357,3,168.60175046,3,4,2,2,2004
2018,201800399637,1,83.848345626,1,5,2,2,2003
2018,201800399637,2,83.848345626,2,2,2,2,2014
2018,201800399657,1,287.4625676,1,2,2,2,2011
2018,201800400865,1,74.967626589,1,2,2,1,2006
2018,201800400865,2,74.967626589,1,4,2,2,2015
2018,201800400865,3,74.967626589,4,4,2,2,2016
2018,201800400879,1,270.08682723,1,4,2,1,2006
2018,201800400886,1,146.08973365,6,2,2,2,1997
2018,201800400886,2,146.08973365,6,2,2,2,2012
2018,201800400888,1,149.7873365,6,3,2,2,2002
2018,201800400888,2,149.7873365,6,5,2,2,2016
2018,201800400912,1,187.19330786,1,2,2,1,2008
2018,201800400912,2,187.19330786,1,4,2,2,2017
2018,201800409539,1,143.98823542,1,2,2,2,2008
2018,201800409539,2,143.98823542,1,4,2,2,2011
2018,201800409539,3,143.98823542,6,4,2,2,2014
2018,201800409691,1,182.80074644,4,2,2,2,2015
2018,201800409691,2,182.80074644,1,3,2,2,2012
2018,201800409743,1,29.833901635,2,2,2,2,2015
2018,201800409743,2,29.833901635,3,2,2,2,1997
2018,201800409978,1,187.19330785,3,2,2,1,2016
2018,201800409978,2,187.19330785,3,4,2,2,2018
2018,201800410692,1,256.85059107,1,2,2,2,2007
2018,201800410692,2,256.85059107,1,4,2,2,2001
2018,201800410708,1,73.468096125,1,5,2,2,2016
2018,201800410708,2,73.468096125,2,2,2,2,2013
2018,201800410843,1,182.80074644,1,2,2,2,1989
2018,201800410843,2,182.80074644,3,3,2,2,2016
2018,201800410857,1,32.839231115,3,2,2,2,2014
2018,201800410980,1,73.468096125,3,2,2,2,2007
2018,201800410980,2,73.468096125,1,4,2,2,2013
2018,201800410980,3,73.468096125,3,4,2,2,2010
2018,201800411039,1,171.48943459,1,2,2,2,1999
2018,201800411039,2,171.48943459,1,3,2,2,2009
2018,201800411039,3,171.48943459,4,2,2,2,2010
2018,201800411338,1,30.018111051,1,2,2,1,2013
2018,201800411339,1,159.3496284,1,2,2,1,2003
2018,201800411339,2,159.3496284,3,4,2,2,1999
2018,201800411340,1,132.18500855,2,2,2,1,1999
2018,201800411340,2,132.18500855,6,4,2,2,2014
2018,201800411342,1,238.97825394,4,2,2,1,2002
2018,201800411350,1,68.386567715,1,2,2,2,2000
2018,201800411350,2,68.386567715,3,4,2,2,2015
2018,201800411371,1,27.534924156,1,3,2,2,2010
2018,201800411371,2,27.534924156,1,2,2,2,2003
2018,201800411372,1,170.65463049,1,2,2,2,2017
2018,201800411372,2,170.65463049,1,4,2,2,2014
2018,201800411389,1,238.97825394,1,2,2,2,2002
2018,201800411389,2,238.97825394,1,4,2,2,2013
2018,201800411393,1,159.3496284,1,2,2,2,2004
2018,201800411418,1,238.97825394,2,2,2,2,2006
2018,201800411426,1,170.65463049,1,2,2,2,2013
2018,201800411426,2,170.65463049,1,4,2,2,2014
2018,201800411429,1,68.386567715,1,2,2,2,2003
2018,201800411429,2,68.386567715,3,4,2,2,2017
2018,201800411436,1,132.18500855,1,2,2,2,2003
2018,201800411436,2,132.18500855,8,2,2,2,2009
2018,201800411458,1,238.97825394,1,2,2,2,2010
2018,201800411458,2,238.97825394,1,2,2,2,1996
2018,201800411463,1,170.65463049,2,3,2,2,2015
2018,201800411463,2,170.65463049,1,2,2,2,2017
2018,201800411470,1,68.386567715,3,2,2,2,2013
2018,201800411470,2,68.386567715,1,2,2,2,2008
2018,201800411470,3,68.386567715,1,2,2,2,2015
2018,201800411470,4,68.386567715,1,2,2,2,2014
2018,201800411489,1,132.18500855,1,2,2,1,2004
2018,201800411489,2,132.18500855,6,2,2,2,2011
2018,201800411500,1,170.65463049,1,2,2,2,2014
2018,201800411500,2,170.65463049,3,4,2,2,2010
2018,201800411500,3,170.65463049,3,4,2,2,2013
2018,201800411503,1,238.97825394,3,3,2,2,1996
2018,201800411503,2,238.97825394,1,2,2,2,2001
2018,201800411505,1,170.65463043,1,4,2,2,2017
2018,201800411505,2,170.65463043,1,2,2,2,2012
2018,201800411517,1,168.60175046,1,2,2,2,2014
2018,201800411517,2,168.60175046,2,4,2,2,2002
2018,201800411529,1,132.15328946,6,3,2,2,2014
2018,201800411529,2,132.15328946,4,3,2,2,2013
2018,201800411535,1,235.19710588,1,2,2,2,2013
2018,201800411546,1,235.19710588,1,2,2,1,2016
2018,201800411546,2,235.19710588,1,4,2,2,1997
2018,201800411550,1,159.45162565,1,2,2,2,2009
2018,201800411552,1,168.60175046,1,4,2,2,2015
2018,201800411552,2,168.60175046,1,4,2,2,2007
2018,201800411553,1,26.905154397,1,2,2,2,2011
2018,201800411553,2,26.905154397,3,2,2,2,2015
2018,201800411562,1,168.60175046,3,5,2,2,2017
2018,201800411563,1,132.15328946,2,2,2,1,2012
2018,201800411563,2,132.15328946,1,4,2,2,2005
2018,201800411563,3,132.15328946,6,4,2,2,2001
2018,201800411564,1,235.19710588,1,4,2,2,2006
2018,201800411570,1,159.45162565,3,5,2,2,2003
2018,201800411570,2,159.45162565,2,2,2,2,2007
2018,201800411571,1,235.19710588,2,3,2,2,2002
2018,201800411571,2,235.19710588,3,2,2,2,1999
2018,201800411583,1,28.249912,7,1,2,2,1995
2018,201800411591,1,27.297360648,1,2,2,2,2010
2018,201800411595,1,159.45162565,3,2,2,2,2011
2018,201800411595,2,159.45162565,3,5,2,2,2002
2018,201800411598,1,168.60175046,1,2,2,2,2006
2018,201800411598,2,168.60175046,3,4,2,2,2016
2018,201800411600,1,235.19710588,1,2,2,2,2005
